Chr11	TSSStart	TSSStop	GeneName	P4D7F4_R1	P4D7F4_R2	Ev9D_R1	Ev9D_R2	Ev12A_R1	Ev12A_R2	MiniXist_R1	MiniXist_R2	DelB_MiniXist_R1	DelB_MiniXis_R2	739D12_R1	739D12_R2	CL3_DelR1N_FBC_R1	CL3_DelR1N_FBC_R2	CL6_DelBFLXist_R1	CL6_DelBFLXist_R2
chr11	3648813	3648814	Tug1	0	0	0	0.056027116	0.1374	0	0	0	0.0356	0.0684	0.212952415	0.412791912	0	0	0.030115603	0.042630187
chr11	3649493	3649494	Morc2a	0.049955999	0.049233417	0.041668041	0.038925802	0.0269	0	0.1197	0	0.0286	0.0717	0.015423833	0	0.001586205	0	0.047409812	0.048145267
chr11	3863902	3863903	Osbp2	0.120917692	0.057395681	0.779774546	0.669750253	0	0.0061	0	0	0	0	0	0	0.119679879	0.013860018	0.06501326	0
chr11	3895239	3895240	Dusp18	0.066653129	0	0.175117084	0.612502545	0.4418	0	0.0445	0.098	0.027	0	0.476884312	0.21121823	0	0	0.161559187	0
chr11	3914663	3914664	Slc35e4	0	0.001831139	0.290557357	0	0	0	0	0	0.0673	0	0	0.570078326	0	0.009296369	0.205451526	0.087154445
chr11	3932077	3932078	Tcn2	0.142895257	0.116765855	0	0	0.2889	0.0345	0	0	0.0094	0.1329	0	0	0.158920675	0.266590514	0	0
chr11	3963974	3963975	Pes1	0.015863983	0.010547618	0	0.059630953	0	0.0181	0	0.0143	0.0045	0	0.128545967	0.02513376	0.11981981	0.056301305	0	0.035045778
chr11	3983635	3983636	Gal3st1	0	0	0.140419326	0.182413255	0.1036	0.1488	0.4954	0.0265	0	0	0	0.272194355	0	0.122481414	0	0
chr11	4031781	4031782	Sec14l4	0	0.168010992	0.048505068	0.137888946	0	0.1256	0.2346	0.0163	0	0.0047	0	0	0.033429565	0	0	0
chr11	4095430	4095431	Mtfp1	0	0.065492402	0	0	0.097	0	0.1106	0	0.1381	0.2539	0	0	0	0.056898807	0.097516445	0
chr11	4118728	4118729	Sec14l2	0	0.247423803	0	0.061201347	0	0.0653	0	0.0871	0	0.0574	0.560958718	0.783793779	0.361622214	0.395641945	0.102735965	0
chr11	4135159	4135160	Rnf215	0.20036855	0.172058274	0	0	0.1583	0.0781	0.29	0	0	0	1	0	0.227903855	0.099941013	0	0
chr11	4160292	4160293	Ccdc157	0.316936076	0.10512014	0.074006523	0	0	0	0.2073	0.219	0.2374	0	0	0	0	0	0	0
chr11	4160353	4160354	Sf3a1	0.013211492	0	0	0	0.0165	0.139	0.0375	0.0454	0	0	0	0	0	0	0	0
chr11	4186832	4186833	Tbc1d10a	0	0.06561983	0	0	0.0708	0.0059	0	0	0.0175	0.0577	0	0	0	0	0	0.082972152
chr11	4218250	4218251	Gatsl3	0.259366462	0.092187746	0	0	0	0	0.3383	0.0409	0.0311	0	1	1	0	0	0	0.018718863
chr11	4257567	4257568	Lif	0	0.135940663	0.160041888	0.296400236	0	0	0	0.2417	0	0.0034	0.428630081	0.114565064	0	0.010662448	0	0
chr11	4441081	4441082	Hormad2	0.154456493	0.126688742	0	0.023346859	0.0948	0	0	0	0	0	0.804368337	0	0	0	0.062958665	0.237612663
chr11	4594814	4594815	Mtmr3	0	0.017384741	0.014875157	0	0	0	0.0093	0.0488	0.0001	0	0.154699181	0.050724066	0	0	0	0
chr11	4637792	4637793	Ascc2	0	0.067257591	0	0.007829747	0.0405	0.0258	0.0423	0.1143	0.0609	0	0.207928496	0.132258442	0	0	0	0
chr11	4704343	4704344	Uqcr10	0.035640377	0.040459921	0	0	0	0.1777	0	0	0	0.0506	0.300708387	0.281557944	0	0	0.006891828	0.02316684
chr11	4704677	4704678	Zmat5	0.030888824	0.032803248	0.514957368	0.561670608	0	0	0.1054	0.0922	0	0.0196	0.343676308	0.423808869	0	0	0.030785164	0
chr11	4849543	4849544	Nf2	0	0	0.021922748	0.016663436	0.0792	0.0761	0.0018	0.0197	0.101	0.0739	0.229824741	0	0.104018836	0.052072294	0.074835552	0.042424414
chr11	4874002	4874003	Nipsnap1	0	0.017116543	0.189875359	0.030684278	0.0832	0.359	0	0.042	0.2935	0.0954	0	0	0	0	0.053604371	0.083097058
chr11	4895342	4895343	Thoc5	0.055049228	0.097256323	0.414609474	0.254078698	0.0347	0.1339	0	0	0.0112	0.0912	0.309254448	0.253800687	0	0	0	0.063192292
chr11	4947520	4947521	Ap1b1	0.07466138	0.044928104	0	0	0	0.1071	0.028	0.002	0	0	0.232172845	0.034427371	0	0	0	0
chr11	4948063	4948064	Nefh	0	0	0.181780159	0.296152965	0	0	0	0	0	0.3506	0	0	0.069142911	0	0	0
chr11	5065326	5065327	Gas2l1	0	0	0.373757131	0.391383883	0	0.2058	0.2103	0.0058	0.5564	0.0096	0.25972724	0	0	0	0.066558159	0.029307909
chr11	5099087	5099088	Ewsr1	0.039617198	0.04780656	0	0	0.0181	0.0011	0.0281	0.0006	0	0	0.032145542	0	0	0	0	0
chr11	5099272	5099273	Rhbdd3	0	0.026304816	0	0	0	0.2215	0	0	0.2144	0.0714	0	0.280741273	0	0	0.026564784	0
chr11	5152221	5152222	Emid1	0.047273454	0	0.001642605	0.03991253	0	0	0.0928	0.2583	0	0	0	0	0	0.087235086	0.01814106	0
chr11	5261609	5261610	Kremen1	0.028227217	0.038346644	0	0.061954249	0.2488	0	0.1177	0.0121	0	0	0	0	0	0	0.224913634	0.074114948
chr11	5444846	5444847	Znrf3	0.058730446	0.000788901	0.019805433	0	0.0035	0.0163	0	0.0427	0	0	0	0	0.058593427	0.074108593	0.064466066	0.050167227
chr11	5520640	5520641	Xbp1	0.06889733	0.065335772	0.172221231	0.038606896	0.1802	0.2097	0.0153	0.0057	0.1022	0.0373	0.17381944	0.240281139	0	0.040005424	0	0
chr11	5542216	5542217	Ccdc117	0	0	0.09965507	0.106467388	0.0238	0.0768	0	0.0656	0.0848	0.0135	0.332364732	0.392832292	0	0	0.027683562	0.062073051
chr11	5707698	5707699	Mrps24	0.074214193	0	0	0	0.1681	0.0026	0	0.1266	0.0329	0.0292	0	0.042942725	0.02755568	0	0	0
chr11	5762149	5762150	2210015D19Rik	0.162066142	0.113156398	0	0	0	0.0894	0	0.0083	0	0	0	0	0	0.131147796	0.043685326	0
chr11	5762375	5762376	Urgcp	0.053500054	0.055179508	0	0	0.2323	0.0386	0.0455	0	0.0869	0	0	0	0	0.013301126	0.143248173	0.118920966
chr11	5788482	5788483	Dbnl	0	0.013309439	0	0.147496566	0.0315	0.055	0	0	0	0.0519	0	0	0	0	0.070953397	0.101948149
chr11	5838015	5838016	Polm	0.041230975	0	0	0	0	0.0255	0.1211	0.0369	0	0	0	0	0	0	0	0
chr11	5861865	5861866	Aebp1	0	0.095843251	1	0.772248439	0	0	0	0	0.1019	0	0.267819981	0	0	0	0	0
chr11	5878255	5878256	Pold2	0.206776054	0.061099717	0.113824769	0.057812938	0	0.1295	0.141	0.0455	0.0736	0.1312	1	1	0	0.084796357	0	0
chr11	5955757	5955758	Ykt6	0	0.03413519	0	0	0.1682	0.3701	0.0719	0.0539	0	0.0975	0.5061679	0.514639705	0	0	0	0.10915146
chr11	6065747	6065748	Camk2b	0	0	0.09857601	0.198421173	0.0743	0.2451	0.0238	0	0	0.1555	0.081378429	0.64144968	0	0	0	0
chr11	6200450	6200451	Nudcd3	0	0	0	0	0.118	0.0495	0.0224	0.004	0	0	0.00311164	0.007243759	0	0	0	0
chr11	6267728	6267729	Ddx56	0	0	0.017992396	0	0	0	0.0376	0.0055	0.0993	0	0.017805454	0	0	0	0.013927957	0.005863157
chr11	6274836	6274837	Tmed4	0.078993019	0.398966832	0.014080393	0	0.1936	0.1366	0.1753	0.2465	0	0	0	0	0	0	0.086670587	0.066618548
chr11	6291596	6291597	Ogdh	0	0.013118487	0	0	0.0431	0	0	0	0	0	0	0	0	0	0.017311455	0.066524985
chr11	6395124	6395125	Zmiz2	0.229449132	0.096239181	0	0.211043224	0	0	0.0641	0.014	0	0	0.890233145	0	0	0	0	0
chr11	6415869	6415870	Ppia	0.054936427	0	0	0	0.0233	0.0193	0.0037	0	0.0697	0.0058	0	0.367831361	0	0	0.02034462	0
chr11	6444442	6444443	H2afv	0.048393176	0	0	0	0.083	0.1102	0	0	0	0	0	0	0.011440744	0.041413675	0.002863289	0
chr11	6476075	6476076	Purb	0	0.067614969	0	0	0	0	0	0	0.1393	0.1952	0.178192341	0.346692596	0	0	0.127405981	0.272339449
chr11	6520957	6520958	Myo1g	0.393600541	0.515939333	0	0	0	0.2598	0	0.0594	0.4437	0.4533	1	1	0.072276376	0.096438001	0.591598216	0.093746474
chr11	6528759	6528760	Gm11974	0	0	0.082515669	0.001881683	0.0735	0.1336	0.0696	0.1271	0.0577	0.1195	0	0	0	0.004542298	0.044944744	0.01809298
chr11	6546886	6546887	Ccm2	0.091447751	0.111039341	0	0	0	0	0.0306	0	0	0	0	0	0.042961835	0.089174512	0.004282603	0
chr11	6626066	6626067	Tbrg4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048243746	0.017296802
chr11	6658532	6658533	Ramp3	0	0	0	0	0	0	0.0292	0.0327	0	0.5679	0.385222267	0.139257156	0	0	0	0
chr11	7063488	7063489	Adcy1	0.044990476	0	0.32035539	0.119560938	0	0.0665	0	0	0.0804	0.0644	0.847542931	0.538737289	0	0	0	0
chr11	7213922	7213923	Igfbp3	0	0	0.050553972	0.155455303	0	0	0.262	0.4268	0.0135	0	0.059533456	0.085800192	0.00197718	0	0	0
chr11	8664534	8664535	Tns3	0	0.026924657	0	0	0.0783	0.0172	0.0244	0	0	0	0.045407909	0.023547017	0	0	0	0.005654119
chr11	9011136	9011137	Hus1	0	0	0.170383267	0.159412688	0.0547	0	0	0.0966	0	0	0	0	0	0	0	0
chr11	9118007	9118008	Upp1	0.009723255	0.002852659	0.070902527	0.000293416	0.0833	0.1525	0	0	0	0	0	0	0	0	0.05891396	0.131353827
chr11	11462418	11462419	Zpbp	0	0	0	0	0	0.3987	0.6209	0.2227	0.2389	0.1218	0.22798953	0.291100649	0	0	0	0
chr11	11686212	11686213	Ikzf1	0	0.12079752	0.618026836	0.163992056	0.5027	1	0	0.4303	0	0	0	0.144222183	0	0	0.051993351	0.028103514
chr11	11808961	11808962	Fignl1	0.079121968	0.03496878	0.017023358	0	0	0	0.0382	0.0558	0	0	0.095167141	0.385792257	0.041201457	0.012663854	0.015153526	0.019728917
chr11	11898143	11898144	Ddc	0	0	0	0.205686124	0	0	0.0319	0.0209	0.274	0.1379	0	0	0	0	0	0
chr11	12037419	12037420	Grb10	0.009924225	0.002033261	0.014426066	0.297513201	0	0	0	0.3124	0.1573	0.107	0.002324196	0	0	0	0	0
chr11	12464959	12464960	Cobl	0.067944986	0.10970526	0.044131959	0.173688792	0.1015	0.0398	0.0221	0	0	0.0378	0.048090503	0.002808032	0	0	0.188791705	0.163094428
chr11	16508483	16508484	Sec61g	0	0	0.280275698	0.082145762	0.0899	0	0.0577	0	0.1132	0	0	0	0	0	0	0.035262317
chr11	16752202	16752203	Egfr	0.067450359	0	0.054268923	0	0.2546	0	0	0	0	0	0	0	0	0.027310138	0.557291865	0.380192774
chr11	16951281	16951282	2810442I21Rik	0.812916751	0.899736255	0.013586683	0	0.4663	0.4391	0	0	0	0	0.164248481	1	0	0	0.730318104	0
chr11	16951409	16951410	Fbxo48	0.290290505	0.024390719	1	0.926238945	0	0	0.1853	0.3987	0	0.0067	0.029456933	1	0	0	0	0
chr11	17159297	17159298	Ppp3r1	0.40847582	0.367397668	0.634208212	0	0.0556	0	0.054	0	0	0.5163	0	0.391451013	0	0	0.407469843	0
chr11	17211588	17211589	Pno1	0.501379657	0.482269263	0	0	0.0553	0.0286	0	0.0269	0.9443	1	0	1	0.759841652	0.748076946	0.048985419	0.130027483
chr11	17211892	17211893	Wdr92	0.196104888	0	0	0	0.0371	0	0	0.9695	0	0	1	0	0	0	0	0
chr11	17257617	17257618	C1d	0	0.013800043	0	0	0.5631	0.465	0.4199	0.2739	0	0.1775	0	0	0.112370924	0.29845749	0.205671737	0
chr11	17953874	17953875	Etaa1	0.122706014	0	0.536671305	0	0.3487	0	0	0	0	0	0.347949399	0.271230678	0	0	0	0
chr11	19018968	19018969	Meis1	0	0	0.30023464	0.21648086	0	0	0.1758	0.1578	0	0	0.121215238	0.056161746	0.179825483	0.269097664	0	0.09280742
chr11	19924441	19924442	Spred2	0	0.022332242	0.129859561	0	0.0018	0.0553	0	0.0558	0.0026	0.0029	0	0.002585133	0	0	0	0
chr11	20112950	20112951	Actr2	0	0.032589942	0	0	0.0093	0	0	0.0226	0.0061	0	0.101165829	0.045762619	0	0	0.010407282	0.030170661
chr11	20201601	20201602	Rab1	0.004469259	0.004440505	0.16045495	0.193832581	0.0128	0.0401	0	0.0287	0.0939	0.0406	0	0	0	0	0.151242971	0.152075429
chr11	20249423	20249424	Cep68	0	0.01494137	0	0.062518252	0.2425	0.1136	0.0334	0.0884	0.0173	0.0286	0	0	0	0	0.040472701	0.062366863
chr11	20332712	20332713	Slc1a4	0	0	0	0	0	0	0.0124	0.0099	0	0	0	0	0.325054055	0.21061874	0.002042034	0.062375668
chr11	20543252	20543253	Sertad2	0	0	0.138609214	0.13113389	0	0.0624	0	0.1153	0	0.0391	0	0	0	0	0	0
chr11	20741555	20741556	Aftph	0.069268494	0.099414613	0.024956757	0.116695188	0	0	0	0	0	0	0	0	0	0	0.019013795	0
chr11	20831107	20831108	Lgalsl	0.221925543	0.039751809	0	0.030513016	0	0	0	0	0	0	0	0	0	0	0.031603596	0.05540235
chr11	21091323	21091324	Peli1	0	0	0	0	0	0	0	0	0.035	0.009	0.069875795	0.037520984	0.01862312	0	0.067074686	0
chr11	21239031	21239032	Vps54	0	0.013480301	0.024554101	0	0.0708	0	0.1191	0.0846	0.0811	0.0736	0.119555826	0.036452415	0	0	0.021585257	0.11766111
chr11	21371266	21371267	Ugp2	0.049457819	0.017115406	0	0	0.0854	0.1632	0	0.021	0	0.0753	0.051441597	0.490168035	0	0	0.016277395	0
chr11	21571933	21571934	Mdh1	0	8.69E-05	0.100936249	0	0.1209	0.0525	0.0921	0.058	0.0307	0.0138	0	0	0	0	0	0
chr11	21572280	21572281	Wdpcp	0.177775529	0.413743748	0.141931924	0	0.5435	0	0	0	0.0127	0	0	0	0	0	0.237779072	0.01619961
chr11	22286794	22286795	Ehbp1	0	0	0.010401713	0.000249691	0.0392	0.1118	0.0803	0.0582	0	0.0169	0	0	0	0	0.029292427	0.061831017
chr11	22512282	22512283	Tmem17	0.147534073	0.260786529	0.008545936	0	0.0488	0	0	0	0.1993	0.3	0.369777152	0.034845593	0.16753486	0.184332655	0	0.14625976
chr11	22860335	22860336	B3gnt2	0.060777194	0.045931809	0.031046856	0.204831845	0	0	0	0	0	0	0.054383863	0.000860245	0.03818019	0.013478166	0	0.050980437
chr11	22972004	22972005	Zrsr1	0.17429417	0	0	0	0.0098	0.1699	0.1373	0.0637	0.0519	0	0	0	0	0	0	0
chr11	22982283	22982284	Commd1	0.053921168	0.034860661	0	0	0.1228	0	0	0	0	0	0.240386528	0.157389054	0.081261563	0.196437348	0	0
chr11	22990592	22990593	Cct4	0	0	0.063512439	0.012880643	0.0623	0	0.0622	0.0411	0.0069	0.0705	0	0	0	0	0.064396493	0.066093288
chr11	23256040	23256041	Xpo1	0.026632361	0.041090841	0.044313306	0.110902189	0.0308	0	0	0.0201	0.016	0.0682	0.033717273	0.050125315	0	0	0.036768716	0.05501012
chr11	23306894	23306895	Usp34	0.034194254	0.076661539	0.045232444	0.014450435	0.0018	0	0.1304	0	0	0.0229	0.058452181	0	0	0	0	0.002210867
chr11	23498038	23498039	Ahsa2	0.079901298	0.011600769	0	0	0	0	0.0355	0.2584	0.0382	0.0937	0	0	0	0	0.019290692	0.054485479
chr11	23633630	23633631	0610010F05Rik	0	0	0.068790967	0	0.066	0.4288	0.1275	0.1908	0	0.067	0.12414154	0.169707471	0	0	0	0.147005923
chr11	23665673	23665674	Pus10	0.015300619	0.062648388	0.01475925	0	0.0326	0.0323	0.1098	0.1704	0	0	0	0	0	0	0	0.035867446
chr11	23665934	23665935	Pex13	0.066788033	0	0.213341181	0.073902185	0.2654	0.1784	0	0	0.0796	0	0	0	0	0	0	0.018839144
chr11	23770969	23770970	Rel	0	0.188675453	0.339072559	0.144586846	0.3563	0	0	0	0	0.1178	0.221196979	0.087710634	0	0	0.076370553	0
chr11	23895269	23895270	Papolg	0.402054107	0.01496025	0.247752499	0.050459447	0.0384	0.0895	0.0208	0.2488	0.1027	0	0.092010443	0	0	0	0.133960313	0
chr11	24078055	24078056	Bcl11a	0	0	0	0	0.1564	0	0	0.1665	0	0.3069	0.016269011	0.209515291	0	0	0.040750922	0.142140668
chr11	26210575	26210576	5730522E02Rik	0	0	0	0	0	0	0	0	0.0788	0.038	0.034158702	0	0.179522298	0.10859675	0.037152132	0.174703845
chr11	26387083	26387084	Fancl	0.073419554	0.013825632	0.089803451	0	0.0801	0	0.0978	0.0957	0	0	0	0	0	0	0.353709355	0.278670876
chr11	26593919	26593920	Vrk2	0	0	0.117371443	0.02677074	0.0794	0.0547	0.125	0.0802	0.1569	0.0633	0	0	0.003935694	0.133095547	0.090425645	0.138413413
chr11	28584323	28584324	Ccdc85a	0	0	0.246863678	0.141718825	0.4046	0.3857	0	0.0548	0.1926	0.1783	0	0	0.263624883	0.232356921	0.162349068	0.111836972
chr11	29130750	29130751	Pnpt1	0.080010514	0.069958355	0.117550736	0.094194695	0.0843	0	0	0	0	0	0.08332612	0	0	0	0.021900214	0.014110668
chr11	29172906	29172907	Smek2	0	0	0	0	0.1602	0.0757	0.0093	0.0071	0	0	0.071567341	0.060673942	0	0	0.085734826	0.05672274
chr11	29247271	29247272	Ccdc104	0.277075409	0.350354493	0	0	0	0.1895	0.0583	0.1351	0.0937	0	0.404576861	0.183558293	0	0	0.200815406	0.060084631
chr11	29374171	29374172	Ccdc88a	0.012449793	0	0.102744501	0	0	0	0	0.0101	0.0048	0.0131	0	0	0	0	0	0
chr11	29515032	29515033	Prorsd1	0.008182732	0	0	0	0	0	0.1677	0.2541	0	0	0	0	0.092455963	0.032907235	0	0
chr11	29526396	29526397	Mtif2	0	0	0	0	0	0	0.0717	0	0.0331	0	0	0	0	0.079907179	0.055254817	0.158771508
chr11	29547949	29547950	1700034F02Rik	0.119080704	0.348481155	0	0	0	0	0	0.277	0	0	0	0	0	0	0.119482603	0.120353561
chr11	29548039	29548040	Rps27a	0	0	0	0	0.0526	0.1205	0.0877	0	0	0	0.050022988	0.145244723	0.00503919	0	0	0.03086854
chr11	29692897	29692898	Rtn4	0.016405281	0	0.033248343	0	0.0613	0.0178	0.0182	0.036	0.023	0	0.075633301	0.063151738	0	0	0.091822698	0.055348949
chr11	30026032	30026033	Eml6	0.160139506	0.153029912	0.359229369	0.020551468	0	0.2606	0.2059	0.2544	0.3304	0.5558	0.481412513	0.387482227	0	0.168854396	0.256459363	0.341414208
chr11	30219771	30219772	Sptbn1	0.009916977	0	0	0	0.026	0.0327	0	0.0916	0.004	0	0.012689508	0.041364158	0.042026763	0.008609556	0	0
chr11	30649395	30649396	Acyp2	0	0	0.314660442	0	0.555	0.4712	0.2423	0.1349	0.139	0	0.50005858	0.180970059	0	0	0	0
chr11	30771774	30771775	Psme4	0	0	0.006194027	0.045568865	0.0166	0.0341	0.0502	0.0459	0.0447	0.0818	0.102494195	0.08137851	0	0	0	0
chr11	30885357	30885358	Gpr75	0.184809691	0.135321926	0	0	0	0.6749	0	0.6622	0	0	0	0	0.57594522	0.27047652	0.043455153	0.0953417
chr11	30954130	30954131	Erlec1	0.015501161	0	0.149944534	0.080001112	0.1718	0	0.2912	0.2827	0.0116	0	0.123809459	0.092309968	0.035741492	0.035126581	0	0
chr11	30954397	30954398	Asb3	0.062521817	0.17104322	0	0.04914384	0.0652	0.0894	0	0	0	0.0169	0.022182259	0.129120735	0.199240351	0.276501422	0	0
chr11	30986364	30986365	Chac2	0.136525378	0.047567537	0	0	0.0531	0.3805	0.1176	0.3353	0.2153	0.3114	0	0	0	0	0.005771333	0
chr11	31370060	31370061	Stc2	0.02974504	0.367170658	0	0	0	0	0.0784	0	0.036	0	0	0	0.987324377	1	0.008228008	0.348968928
chr11	31671861	31671862	Bod1	0	0	0	0	0.22	0	0	0	0	0.0023	0.099502251	0	0.050633482	0.043138396	0.046543527	0.041363579
chr11	31870939	31870940	Cpeb4	0.09893936	0	0.043099789	0	0	0	0	0.0918	0	0.1355	0.009055549	0	0.253233793	0.230262215	0.099521712	0.131316819
chr11	32000418	32000419	Nsg2	0.312613105	0.411481101	0.104097849	0.28086478	0.0844	1	0.1894	1	0	0.1894	0	0	0	0	0	0
chr11	32205414	32205415	Snrnp25	0	0	0	0	0.3195	0.0574	0	0	0	0.1576	0	0	0.196148737	0	0	0
chr11	32222292	32222293	Rhbdf1	0	0	0	0	0.0586	0.3228	0.1529	0.0741	0.0303	0.076	0	0	0.01167185	0	0	0.010540573
chr11	32226504	32226505	Mpg	0.161291206	0.105978092	0.163152776	0	0.2802	0.1174	0	0	0	0	0	0.214296074	0.114381776	0.072047755	0	0
chr11	32267706	32267707	Nprl3	0.089698281	0.080571012	0.011871188	0.036803445	0.0472	0.0199	0.047	0	0.0016	0	0.022363774	0.01646279	0.092687515	0.036074932	0	0.049928955
chr11	32347810	32347811	Sh3pxd2b	0	0	0	0	0.1505	0	0	0.0323	0	0.0116	0	0.045094727	0	0	0	0
chr11	32455371	32455372	Ubtd2	0.089212978	0.060586421	0.090938455	0	0	0.0695	0.1146	0	0	0	0.121493482	0.082923719	0	0	0.089354104	0.086096234
chr11	32533265	32533266	Stk10	0.0764869	0.142596955	0	0	0	0.0536	0	0	0	0.0063	0.157934786	0.243917117	0	0	0	0
chr11	32642554	32642555	Fbxw11	0.030433737	0.05553041	0.089050317	0	0	0.0634	0.0338	0.0229	0.0226	0.0232	0	0	0	0	0.143667335	0.11722899
chr11	33163205	33163206	Npm1	0.031765987	0.029612386	0	0	0.0087	0.0174	0	0	0.0239	0	0	0	0	0	0.030873251	0.020019583
chr11	33513745	33513746	Ranbp17	0.037458449	0.01687458	0	0	0.0661	0.0557	0.0485	0.0674	0	0.0128	0	0.013766445	0	0	0.030688661	0.022726698
chr11	34314821	34314822	Fam196b	0.433828667	1	0.086478726	0.365850156	0.4148	0.3654	0	0	0.0141	0.3437	0.222313932	0	0.276810708	0.397859781	0.064299385	0.191043369
chr11	34783904	34783905	Dock2	1	1	0	0.01274408	0.0886	0.1065	0.1636	0.037	0	0	0	0	0.208143448	0.068015607	0.419892453	0.336488495
chr11	34833640	34833641	Spdl1	0	0.009510419	0	0	0.0376	0.0267	0	0	0	0	0.076317939	0.031212019	0	0	0	0
chr11	35121455	35121456	Slit3	0.001780681	0.027633734	0.003352757	0	0	0.0707	0.0289	0.0965	0	0	0.054678021	0.117021272	0	0	0.034918767	0.044696488
chr11	35769494	35769495	Pank3	0.04365634	0	0	0	0.0239	0.0557	0	0.0377	0.0278	0.0216	0.099018253	0.110314143	0	0	0.008680626	0.032964721
chr11	35834527	35834528	Rars	0.010083198	0	0.037102801	0	0.0672	0.0143	0	0	0	0.0531	0.169085226	0.193850798	0	0	0.063300695	0.046632058
chr11	35980088	35980089	Wwc1	0	0	0.208135723	0.242892076	0.1208	0.024	0	0	0.0424	0	0.000190288	0.003643706	0	0	0.010580772	0.020861428
chr11	36944240	36944241	Tenm2	0	0	0.237868588	0	0	0	0.5573	0.5799	0.633	1	1	1	0	0	0.068644557	0
chr11	40695202	40695203	Mat2b	0	0	0	0.066072393	0	0.0074	0.0216	0	0.0646	0.027	0.017480715	0	0	0	0.019298169	0.000137525
chr11	40733436	40733437	Hmmr	0	0	0.142869541	0.136379316	0.065	0.0264	0.0458	0.0027	0.1002	0	0	0	0	0	0.0415456	0.044886247
chr11	40733660	40733661	Nudcd2	0.087753782	0.042397129	0.103602677	0.017222426	0.0053	0	0.0033	0.0182	0	0	0.131687904	0	0	0	0.04672025	0.064300769
chr11	40755285	40755286	Ccng1	0.052895292	0.035090279	0	0	0	0.067	0	0	0.0304	0.0754	0.083920029	0	0.046325103	0.03947934	0.01415904	0.011980146
chr11	43426247	43426248	Pttg1	0	0	0	0.114457664	0	0	0	0	0.0708	0.0529	0	0	0.536677393	0.533146312	0.049159785	0
chr11	43433730	43433731	Slu7	0.134182668	0	0	0.014085875	0.0147	0.0437	0.0905	0.0553	0.0418	0	0	0.01566563	0.041977152	0	0.011949214	0.060981472
chr11	43528748	43528749	Ccnjl	0	0	0.098796101	0.163871674	0	0	0.165	0.0624	0.2941	0.1549	0.105805566	0.183668213	0	0	0.101509526	0.128262707
chr11	43681997	43681998	Pwwp2a	0.006177415	0	0.081191932	0.109462045	0.1899	0.1316	0.038	0.0034	0.0248	0.0835	0	0	0	0	0.199210703	0.137712926
chr11	43747972	43747973	Ttc1	0	0.049895352	0.259295329	0.070605857	0.0915	0	0	0	0	0.041	0.277853227	0.032023629	0	0	0	0.05842911
chr11	44470547	44470548	Ublcp1	0	0.238506025	0	0	0.1602	0	0.2254	0.0006	0	0	0	0	0	0	0.075544288	0.034118765
chr11	44518963	44518964	Rnf145	0.04251215	0.0948018	0	0	0.0264	0	0	0	0.0258	0	0.037994893	0.030502264	0	0	0.006692638	0
chr11	44618099	44618100	Ebf1	0	0	0.144524388	0	0	1	0.0431	0.0144	0	0	0	0.012821926	0	0	0	0
chr11	45851963	45851964	Clint1	0	0	0.14426251	0.095177831	0.0399	0.1437	0.0517	0.0485	0.0325	0.0976	0.011998634	0.044289458	0	0	0.014434328	0.038038351
chr11	45944934	45944935	Lsm11	0.060352464	0.063515928	0	0	0.1551	0.143	0.0167	0.0033	0	0	0.307468323	0.67736548	0	0.061295095	0	0
