Chr11	TSSStart	TSSStop	GeneName	P4D7F4_R1	P4D7F4_R2	Ev9D_R1	Ev9D_R2	Ev12A_R1	Ev12A_R2	X739D12_R1	X739D12_R2	CL3_DelR1N_FBC_R1	CL3_DelR1N_FBC_R2	CL6_DelBFLXist_R1	CL6_DelBFLXist_R2	MiniXist_R1	MiniXist_p.value1	MiniXist_R2	MiniXist_p.value2	MiniXist_Fishers_p.value	MiniXist_q.vaule	DelB_MiniXist_R1	DelBMiniXist_p.value1	DelB_MiniXist_R2	DelB_MiniXist_p.value2	DelB_MiniXist_Fishers_p.value	DelB_MiniXist_q.vaule	rRS	MiniXist_cRS	DelB_MiniXist_cRS	site	site2	Sig
chr11	3983635	3983636	Gal3st1	0	0	0.140419326	0.182413255	0.1036	0.1488	0	0.272194355	0	0.122481414	0	0	0.4954	0.0178	0.0265	0.4653	0.047984811	0.089418191	0	0.4899	0	0.4978	0.588002963	0.611534142	0.08070814525	0.18024185475	0	4	L	4.90953084900553
chr11	4031781	4031782	Sec14l4	0	0.168010992	0.048505068	0.137888946	0	0.1256	0	0	0.033429565	0	0	0	0.2346	0.0505	0.0163	0.4466	0.108072569	0.174925152	0	0.5019	0.0047	0.4878	0.589348143	0.611534142	0.0886012515	0.0368487485	0	5	L	3.5450428532821
chr11	4095430	4095431	Mtfp1	0	0.065492402	0	0	0.097	0	0	0	0	0.056898807	0.097516445	0	0.1106	0.2829	0	0.4969	0.416381231	0.526998801	0.1381	0.1495	0.2539	0.0741	0.060959728	0.27986057	0.0163731005	0.0389268995	0.1796268995	5	L	0.503003715952698
chr11	4118728	4118729	Sec14l2	0	0.247423803	0	0.061201347	0	0.0653	0.560958718	0.783793779	0.361622214	0.395641945	0.102735965	0	0	0.5018	0.0871	0.3003	0.435876448	0.547556234	0	0.505	0.0574	0.3501	0.483148614	0.611534142	0.0771562875	0	0	5	L	1.22470334419335
chr11	4135159	4135160	Rnf215	0.20036855	0.172058274	0	0	0.1583	0.0781	1	0	0.227903855	0.099941013	0	0	0.29	0.027	0	0.4918	0.070663419	0.12326434	0	0.5026	0	0.5022	0.599897088	0.611534142	0.093106706	0.051893294	0	5	L	4.25679165554024
chr11	4160292	4160293	Ccdc157	0.316936076	0.10512014	0.074006523	0	0	0	0	0	0	0	0	0	0.2073	0.0729	0.219	0.0656	0.030333013	0.060666026	0.2374	0.0209	0	0.501	0.058209359	0.273448618	0.12401568475	0.08913431525	0	5	L	2.16125377696676
chr11	4160353	4160354	Sf3a1	0.013211492	0	0	0	0.0165	0.139	0	0	0	0	0	0	0.0375	0.1635	0.0454	0.1092	0.089726577	0.151798731	0	0.4972	0	0.5004	0.594905594	0.611534142	0.003302873	0.038147127	0	5	L	3.83338597141111
chr11	4186832	4186833	Tbc1d10a	0	0.06561983	0	0	0.0708	0.0059	0	0	0	0	0	0.082972152	0	0.4962	0	0.4962	0.591296883	0.608316432	0.0175	0.4013	0.0577	0.1796	0.261631714	0.611534142	0.0164049575	0	0.0211950425	5	L	1.01072744852518
chr11	4218250	4218251	Gatsl3	0.259366462	0.092187746	0	0	0	0	1	1	0	0	0	0.018718863	0.3383	2e-04	0.0409	0.3147	0.000671779	0.002093695	0.0311	0.3497	0	0.4978	0.478414828	0.611534142	0.087888552	0.101711448	0	5	L	12.5437553886203
chr11	4257567	4257568	Lif	0	0.135940663	0.160041888	0.296400236	0	0	0.428630081	0.114565064	0	0.010662448	0	0	0	0.4984	0.2417	0.0836	0.17408422	0.259329001	0	0.5023	0.0034	0.4817	0.585294126	0.611534142	0.14809569675	0	0	5	L	2.74440892557564
chr11	4441081	4441082	Hormad2	0.154456493	0.126688742	0	0.023346859	0.0948	0	0.804368337	0	0	0	0.062958665	0.237612663	0	0.5078	0	0.505	0.605417721	0.608316432	0	0.496	0	0.4878	0.585281199	0.611534142	0.0761230235	0	0	5	L	1.01072744852518
chr11	4594814	4594815	Mtmr3	0	0.017384741	0.014875157	0	0	0	0.154699181	0.050724066	0	0	0	0	0.0093	0.4061	0.0488	0.0932	0.161770759	0.244798823	1e-04	0.4901	0	0.4975	0.587935973	0.611534142	0.0080649745	0.0209850255	0	5	L	2.86165700470499
chr11	4637792	4637793	Ascc2	0	0.067257591	0	0.007829747	0.0405	0.0258	0.207928496	0.132258442	0	0	0	0	0.0423	0.218	0.1143	0.0152	0.022233328	0.046395995	0.0609	0.1291	0	0.5004	0.241578833	0.611534142	0.0187718345	0.0595281655	0.0116781655	5	L	6.24367416090692
chr11	4704343	4704344	Uqcr10	0.035640377	0.040459921	0	0	0	0.1777	0.300708387	0.281557944	0	0	0.006891828	0.02316684	0	0.502	0	0.5054	0.601690447	0.608316432	0	0.5049	0.0506	0.2681	0.40606266	0.611534142	0.0190250745	0	0.0062749255	5	L	1.01072744852518
chr11	4704677	4704678	Zmat5	0.030888824	0.032803248	0.514957368	0.561670608	0	0	0.343676308	0.423808869	0	0	0.030785164	0	0.1054	0.0845	0.0922	0.1203	0.056811807	0.102647451	0	0.509	0.0196	0.4019	0.529186293	0.611534142	0.285080012	0	0	5	L	4.62896858611003
chr11	4849543	4849544	Nf2	0	0	0.021922748	0.016663436	0.0792	0.0761	0.229824741	0	0.104018836	0.052072294	0.074835552	0.042424414	0.0018	0.4677	0.0197	0.2267	0.343959433	0.457706228	0.101	0.002	0.0739	0.0153	0.000348672	0.005869312	0.009646546	0.001103454	0.077803454	5	L	0.152106857071521
chr11	4874002	4874003	Nipsnap1	0	0.017116543	0.189875359	0.030684278	0.0832	0.359	0	0	0	0	0.053604371	0.083097058	0	0.4987	0.042	0.176	0.301320447	0.416895414	0.2935	0	0.0954	0.0641	0	0	0.059419045	0	0.135030955	5	L	0.042219209022413
chr11	4895342	4895343	Thoc5	0.055049228	0.097256323	0.414609474	0.254078698	0.0347	0.1339	0.309254448	0.253800687	0	0	0	0.063192292	0	0.5094	0	0.5002	0.603184586	0.608316432	0.0112	0.4384	0.0912	0.0752	0.145460907	0.49865686	0.20524843075	0	0	5	L	0.714334005214527
chr11	4947520	4947521	Ap1b1	0.07466138	0.044928104	0	0	0	0.1071	0.232172845	0.034427371	0	0	0	0	0.028	0.2868	0.002	0.4877	0.415004787	0.526576426	0	0.5043	0	0.4933	0.594867073	0.611534142	0.029897371	0	0	5	L	1.30414604309914
chr11	4948063	4948064	Nefh	0	0	0.181780159	0.296152965	0	0	0	0	0.069142911	0	0	0	0	0.5118	0	0.5001	0.6047534	0.608316432	0	0.4997	0.3506	0.0669	0.147034984	0.49865686	0.119483281	0	0.055816719	5	L	0.714334005214527
chr11	5065326	5065327	Gas2l1	0	0	0.373757131	0.391383883	0	0.2058	0.25972724	0	0	0	0.066558159	0.029307909	0.2103	0.0465	0.0058	0.4786	0.106939091	0.173647077	0.5564	0	0.0096	0.4529	0	0	0.1912852535	0	0.0917147465	6	L	0.0844813911407297
chr11	5099087	5099088	Ewsr1	0.039617198	0.04780656	0	0	0.0181	0.0011	0.032145542	0	0	0	0	0	0.0281	0.0911	6e-04	0.4916	0.183881181	0.272716582	0	0.5069	0	0.5069	0.606109366	0.611534142	0.0218559395	0	0	6	L	2.64205603358788
chr11	5099272	5099273	Rhbdd3	0	0.026304816	0	0	0	0.2215	0	0.280741273	0	0	0.026564784	0	0	0.4998	0	0.4928	0.591418803	0.608316432	0.2144	0.0045	0.0714	0.2201	0.00784174	0.064391527	0.006576204	0	0.136323796	6	L	0.181225367836733
chr11	5152221	5152222	Emid1	0.047273454	0	0.001642605	0.03991253	0	0	0	0	0	0.087235086	0.01814106	0	0.0928	0.204	0.2583	0.0133	0.018747199	0.039862465	0	0.4913	0	0.4955	0.587391468	0.611534142	0.02220714725	0.15334285275	0	6	L	6.55230118332898
chr11	5261609	5261610	Kremen1	0.028227217	0.038346644	0	0.061954249	0.2488	0	0	0	0	0	0.224913634	0.074114948	0.1177	0.0308	0.0121	0.4165	0.068709243	0.120479748	0	0.504	0	0.5021	0.600794801	0.611534142	0.0321320275	0.0327679725	0	6	L	4.30325404480496
chr11	5444846	5444847	Znrf3	0.058730446	0.000788901	0.019805433	0	0.0035	0.0163	0	0	0.058593427	0.074108593	0.064466066	0.050167227	0	0.5036	0.0427	0.1262	0.238701148	0.341484645	0	0.4961	0	0.4893	0.586405092	0.611534142	0.019831195	0.001518805	0	6	L	2.18480367321197
chr11	5520640	5520641	Xbp1	0.06889733	0.065335772	0.172221231	0.038606896	0.1802	0.2097	0.17381944	0.240281139	0	0.040005424	0	0	0.0153	0.3662	0.0057	0.4562	0.465998327	0.578915511	0.1022	2e-04	0.0373	0.1642	0.000371876	0.006157286	0.08626530725	0	0	6	L	0.107384273413799
chr11	5542216	5542217	Ccdc117	0	0	0.09965507	0.106467388	0.0238	0.0768	0.332364732	0.392832292	0	0	0.027683562	0.062073051	0	0.5009	0.0656	0.0529	0.122702502	0.19516461	0.0848	0.0111	0.0135	0.388	0.027768352	0.164976679	0.0515306145	0	0	6	L	0.906745956455896
chr11	5707698	5707699	Mrps24	0.074214193	0	0	0	0.1681	0.0026	0	0.042942725	0.02755568	0	0	0	0	0.5093	0.1266	0.0308	0.080862949	0.139133865	0.0329	0.288	0.0292	0.3454	0.329048733	0.611534142	0.01855354825	0.04474645175	0.01249645175	6	L	4.01053465964634
chr11	5762149	5762150	2210015D19Rik	0.162066142	0.113156398	0	0	0	0.0894	0	0	0	0.131147796	0.043685326	0	0	0.4884	0.0083	0.4659	0.564405099	0.608316432	0	0.4967	0	0.488	0.585906306	0.611534142	0.068805635	0	0	6	L	1.01072744852518
chr11	5762375	5762376	Urgcp	0.053500054	0.055179508	0	0	0.2323	0.0386	0	0	0	0.013301126	0.143248173	0.118920966	0.0455	0.2361	0	0.5067	0.373650526	0.485697596	0.0869	0.0493	0	0.4982	0.115599655	0.445632257	0.0271698905	0	0.0162801095	6	L	0.893484775104244
chr11	5788482	5788483	Dbnl	0	0.013309439	0	0.147496566	0.0315	0.055	0	0	0	0	0.070953397	0.101948149	0	0.488	0	0.4903	0.58145987	0.608316432	0	0.4985	0.0519	0.1773	0.30280939	0.611534142	0.04020150125	0	0	6	L	1.01072744852518
chr11	5838015	5838016	Polm	0.041230975	0	0	0	0	0.0255	0	0	0	0	0	0	0.1211	0.1598	0.0369	0.3719	0.22719721	0.327345481	0	0.5022	0	0.5012	0.598928166	0.611534142	0.01030774375	0.06869225625	0	6	L	2.27078967986906
chr11	5861865	5861866	Aebp1	0	0.095843251	1	0.772248439	0	0	0.267819981	0	0	0	0	0	0	0.5022	0	0.5065	0.60258592	0.608316432	0.1019	0.3172	0	0.5079	0.455235836	0.611534142	0.4670229225	0	0	6	L	1.01072744852518
chr11	5878255	5878256	Pold2	0.206776054	0.061099717	0.113824769	0.057812938	0	0.1295	1	1	0	0.084796357	0	0	0.141	0.0148	0.0455	0.2362	0.023268493	0.048158152	0.0736	0.1286	0.1312	0.0477	0.037381154	0.202983684	0.1098783695	0	0	6	L	1.90217508310031
chr11	5955757	5955758	Ykt6	0	0.03413519	0	0	0.1682	0.3701	0.5061679	0.514639705	0	0	0	0.10915146	0.0719	0.1478	0.0539	0.211	0.139331681	0.216167431	0	0.5036	0.0975	0.0681	0.149964197	0.503127842	0.0085337975	0.0543662025	0.0402162025	6	L	2.22984064558883
chr11	6065747	6065748	Camk2b	0	0	0.09857601	0.198421173	0.0743	0.2451	0.081378429	0.64144968	0	0	0	0	0.0238	0.3361	0	0.4881	0.4605849	0.575019467	0	0.5003	0.1555	0.0359	0.090155259	0.370149639	0.07424929575	0	0.00350070425	7	L	0.556776714770223
chr11	6200450	6200451	Nudcd3	0	0	0	0	0.118	0.0495	0.00311164	0.007243759	0	0	0	0	0.0224	0.2329	0.004	0.4467	0.339472343	0.454128565	0	0.4956	0	0.4969	0.591365835	0.611534142	0	0.0132	0	7	L	1.60512368959646
chr11	6267728	6267729	Ddx56	0	0	0.017992396	0	0	0	0.017805454	0	0	0	0.013927957	0.005863157	0.0376	0.234	0.0055	0.4586	0.346834865	0.460925281	0.0993	0.0171	0	0.4945	0.048815226	0.242873787	0.004498099	0.017051901	0.045151901	7	L	0.547280960082044
chr11	6274836	6274837	Tmed4	0.078993019	0.398966832	0.014080393	0	0.1936	0.1366	0	0	0	0	0.086670587	0.066618548	0.1753	0.0742	0.2465	0.023	0.012583192	0.028144081	0	0.4922	0	0.4976	0.589477448	0.611534142	0.123010061	0.087889939	0	7	L	7.26012764897091
chr11	6291596	6291597	Ogdh	0	0.013118487	0	0	0.0431	0	0	0	0	0	0.017311455	0.066524985	0	0.4973	0	0.4994	0.594283004	0.608316432	0	0.5011	0	0.5097	0.604016239	0.611534142	0.00327962175	0	0	7	L	1.01072744852518
chr11	6395124	6395125	Zmiz2	0.229449132	0.096239181	0	0.211043224	0	0	0.890233145	0	0	0	0	0	0.0641	0.2549	0.014	0.4376	0.356198014	0.469048232	0	0.4965	0	0.4937	0.589763414	0.611534142	0.13418288425	0	0	7	L	1.539393144976
chr11	6415869	6415870	Ppia	0.054936427	0	0	0	0.0233	0.0193	0	0.367831361	0	0	0.02034462	0	0.0037	0.4127	0	0.4989	0.53129081	0.608316432	0.0697	1e-04	0.0058	0.401	0.000446078	0.007266751	0.01373410675	0	0.02401589325	7	L	0.100937262393582
chr11	6444442	6444443	H2afv	0.048393176	0	0	0	0.083	0.1102	0	0	0.011440744	0.041413675	0.002863289	0	0	0.4923	0	0.5029	0.593203754	0.608316432	0	0.4974	0	0.5023	0.596357307	0.611534142	0.012098294	0	0	7	L	1.01072744852518
chr11	6476075	6476076	Purb	0	0.067614969	0	0	0	0	0.178192341	0.346692596	0	0	0.127405981	0.272339449	0	0.5029	0	0.495	0.59509561	0.608316432	0.1393	0	0.1952	0	0	0	0.01690374225	0	0.15034625775	7	L	0.0239856057100443
chr11	6520957	6520958	Myo1g	0.393600541	0.515939333	0	0	0	0.2598	1	1	0.072276376	0.096438001	0.591598216	0.093746474	0	0.5001	0.0594	0.3673	0.494948216	0.603741181	0.4437	0.0373	0.4533	0.052	0.014052933	0.103601911	0.2273849685	0	0.2211150315	7	L	0.222569597823597
chr11	6528759	6528760	Gm11974	0	0	0.082515669	0.001881683	0.0735	0.1336	0	0	0	0.004542298	0.044944744	0.01809298	0.0696	0.018	0.1271	0.0013	0.000272909	0.000937544	0.0577	0.014	0.1195	1e-04	2.03e-05	0.000426528	0.021099338	0.077250662	0.067500662	7	L	0.898504944481727
chr11	6546886	6546887	Ccm2	0.091447751	0.111039341	0	0	0	0	0	0	0.042961835	0.089174512	0.004282603	0	0.0306	0.2987	0	0.497	0.431626865	0.543634223	0	0.4934	0	0.5027	0.593837847	0.611534142	0.050621773	0	0	7	L	1.23932058107239
chr11	6626066	6626067	Tbrg4	0	0	0	0	0	0	0	0	0	0	0.048243746	0.017296802	0	0.4866	0	0.4951	0.583812934	0.608316432	0	0.502	0	0.4967	0.595662486	0.611534142	0	0	0	7	L	1.01072744852518
chr11	6658532	6658533	Ramp3	0	0	0	0	0	0	0.385222267	0.139257156	0	0	0	0	0.0292	0.4478	0.0327	0.4263	0.507026723	0.608316432	0	0.5067	0.5679	0.0024	0.009378558	0.07577875	0	0.03095	0.28395	7	L	0.192663625083621
chr11	7063488	7063489	Adcy1	0.044990476	0	0.32035539	0.119560938	0	0.0665	0.847542931	0.538737289	0	0	0	0	0	0.5073	0	0.5084	0.607417131	0.608622323	0.0804	0.1177	0.0644	0.1169	0.072731486	0.31938609	0.121226701	0	0	8	L	0.435059678223911
chr11	7213922	7213923	Igfbp3	0	0	0.050553972	0.155455303	0	0	0.059533456	0.085800192	0.00197718	0	0	0	0.262	7e-04	0.4268	0	0	0	0.0135	0.4008	0	0.5045	0.525422045	0.611534142	0.05150231875	0.29289768125	0	8	L	42.1389170131285
chr11	8664534	8664535	Tns3	0	0.026924657	0	0	0.0783	0.0172	0.045407909	0.023547017	0	0	0	0.005654119	0.0244	0.1217	0	0.4951	0.229517785	0.32974817	0	0.49	0	0.492	0.584046785	0.611534142	0.00673116425	0.00546883575	0	9	L	2.25591911756937
chr11	9011136	9011137	Hus1	0	0	0.170383267	0.159412688	0.0547	0	0	0	0	0	0	0	0	0.4956	0.0966	0.0433	0.103897977	0.170076106	0	0.5004	0	0.5063	0.601198791	0.611534142	0.08244898875	0	0	10	L	3.60220642945719
chr11	9118007	9118008	Upp1	0.009723255	0.002852659	0.070902527	0.000293416	0.0833	0.1525	0	0	0	0	0.05891396	0.131353827	0	0.4972	0	0.4917	0.588850329	0.608316432	0	0.4927	0	0.4957	0.588509527	0.611534142	0.02094296425	0	0	10	L	1.01072744852518
chr11	11462418	11462419	Zpbp	0	0	0	0	0	0.3987	0.22798953	0.291100649	0	0	0	0	0.6209	0.0083	0.2227	0.2784	0.016337244	0.035322692	0.2389	0.1452	0.1218	0.3256	0.19155407	0.574337867	0	0.4218	0.18035	12	L	6.02886197691458
chr11	11686212	11686213	Ikzf1	0	0.12079752	0.618026836	0.163992056	0.5027	1	0	0.144222183	0	0	0.051993351	0.028103514	0	0.4988	0.4303	0.0254	0.06801703	0.119473391	0	0.4905	0	0.4934	0.585371866	0.611534142	0.225704103	0	0	12	L	4.3203102866867
chr11	11808961	11808962	Fignl1	0.079121968	0.03496878	0.017023358	0	0	0	0.095167141	0.385792257	0.041201457	0.012663854	0.015153526	0.019728917	0.0382	0.1529	0.0558	0.0688	0.058430913	0.104919421	0	0.4979	0	0.4992	0.594561589	0.611534142	0.0327785265	0.0142214735	0	12	L	4.58445249115765
chr11	11898143	11898144	Ddc	0	0	0	0.205686124	0	0	0	0	0	0	0	0	0.0319	0.3542	0.0209	0.4192	0.431677869	0.543634223	0.274	0.0018	0.1379	0.1146	0.001956829	0.023251733	0.051421531	0	0.154528469	12	L	0.162036103397634
chr11	12037419	12037420	Grb10	0.009924225	0.002033261	0.014426066	0.297513201	0	0	0.002324196	0	0	0	0	0	0	0.5035	0.3124	2e-04	0.001027479	0.003034367	0.1573	0.0201	0.107	0.1098	0.015705157	0.110924536	0.08097418825	0.07522581175	0.05117581175	13	L	2.63665401771094
chr11	12464959	12464960	Cobl	0.067944986	0.10970526	0.044131959	0.173688792	0.1015	0.0398	0.048090503	0.002808032	0	0	0.188791705	0.163094428	0.0221	0.209	0	0.4957	0.338486727	0.453410602	0	0.5074	0.0378	0.1449	0.265427641	0.611534142	0.09886774925	0	0	13	L	1.60834099244525
chr11	16508483	16508484	Sec61g	0	0	0.280275698	0.082145762	0.0899	0	0	0	0	0	0	0.035262317	0.0577	0.1453	0	0.5041	0.264705331	0.3718392	0.1132	0.0034	0	0.5041	0.012629956	0.095911697	0.090605365	0	0	17	L	0.421994729021648
chr11	16752202	16752203	Egfr	0.067450359	0	0.054268923	0	0.2546	0	0	0	0	0.027310138	0.557291865	0.380192774	0	0.5004	0	0.4996	0.596573368	0.608316432	0	0.4922	0	0.5083	0.596830347	0.611534142	0.0304298205	0	0	17	L	1.01072744852518
chr11	16951281	16951282	2810442I21Rik	0.812916751	0.899736255	0.013586683	0	0.4663	0.4391	0.164248481	1	0	0	0.730318104	0	0	0.4916	0	0.5013	0.591611625	0.608316432	0	0.4943	0	0.5067	0.597213369	0.611534142	0.43155992225	0	0	17	L	1.01072744852518
chr11	16951409	16951410	Fbxo48	0.290290505	0.024390719	1	0.926238945	0	0	0.029456933	1	0	0	0	0	0.1853	0.1014	0.3987	0.0097	0.007794194	0.018349968	0	0.4949	0.0067	0.4843	0.582051135	0.611534142	0.56023004225	0	0	17	L	8.1298362807882
chr11	17159297	17159298	Ppp3r1	0.40847582	0.367397668	0.634208212	0	0.0556	0	0	0.391451013	0	0	0.407469843	0	0.054	0.1454	0	0.5146	0.268810936	0.376559009	0	0.4991	0.5163	0	0	0	0.352520425	0	0	18	L	0.0471296618322838
chr11	17211588	17211589	Pno1	0.501379657	0.482269263	0	0	0.0553	0.0286	0	1	0.759841652	0.748076946	0.048985419	0.130027483	0	0.5011	0.0269	0.3409	0.472692511	0.583642343	0.9443	0	1	0	0	0	0.24591223	0	0.72623777	18	L	0.0259836896682579
chr11	17211892	17211893	Wdr92	0.196104888	0	0	0	0.0371	0	1	0	0	0	0	0	0	0.4968	0.9695	0	0	0	0	0.4981	0	0.5008	0.595808412	0.611534142	0.049026222	0.435723778	0	18	L	42.1389170131285
chr11	17257617	17257618	C1d	0	0.013800043	0	0	0.5631	0.465	0	0	0.112370924	0.29845749	0.205671737	0	0.4199	0	0.2739	0.0045	0	0	0	0.5001	0.1775	0.0474	0.112409779	0.436664979	0.00345001075	0.34344998925	0.08529998925	18	L	25.0103072637379
chr11	17953874	17953875	Etaa1	0.122706014	0	0.536671305	0	0.3487	0	0.347949399	0.271230678	0	0	0	0	0	0.5055	0	0.5075	0.605556849	0.608316432	0	0.5117	0	0.4944	0.600693214	0.611534142	0.16484432975	0	0	18	L	1.01072744852518
chr11	19018968	19018969	Meis1	0	0	0.30023464	0.21648086	0	0	0.121215238	0.056161746	0.179825483	0.269097664	0	0.09280742	0.1758	0.0781	0.1578	0.104	0.047216564	0.088312462	0	0.5009	0	0.5045	0.600307628	0.611534142	0.129178875	0.037621125	0	20	L	4.93483239911838
chr11	19924441	19924442	Spred2	0	0.022332242	0.129859561	0	0.0018	0.0553	0	0.002585133	0	0	0	0	0	0.5022	0.0558	0.0514	0.12020826	0.191801488	0.0026	0.4605	0.0029	0.4508	0.533966329	0.611534142	0.03804795075	0	0	20	L	3.35776012642485
chr11	20112950	20112951	Actr2	0	0.032589942	0	0	0.0093	0	0.101165829	0.045762619	0	0	0.010407282	0.030170661	0	0.5038	0.0226	0.1878	0.317708216	0.433628781	0.0061	0.4025	0	0.4973	0.522150257	0.611534142	0.0081474855	0.0031525145	0	21	L	1.69905002681328
chr11	20201601	20201602	Rab1	0.004469259	0.004440505	0.16045495	0.193832581	0.0128	0.0401	0	0	0	0	0.151242971	0.152075429	0	0.5077	0.0287	0.1352	0.252521097	0.358211107	0.0939	0	0.0406	0.0653	0	0	0.09079932375	0	0	21	L	0.0495401056621788
